jl_target_dim,representation_type,representation_label,is_no_jl,utility_scale,sampled_chunks,num_queries,ef_search,jl_recall_at_5,jl_mrr_at_5,final_exact_recall_at_5,final_hnsw_recall_at_5,final_hnsw_mrr_at_5,dp_recall_at_5,dp_mrr_at_5,dp_loss_at_5,mean_noise_signal_ratio,mean_direction_cosine,hnsw_recall_at_5,hnsw_mrr_at_5,mean_hnsw_query_time,hnsw_index_build_time,vector_dim,estimated_storage_mb,mean_exact_query_time,mean_jl_exact_query_time
512,JL,512d JL,False,0.001,100,30,64,0.66,0.7194444444444444,0.66,0.66,0.6861111111111111,0.9866666666666667,0.95,0.013333333333333308,0.0003517939929114552,0.9999998211860657,1.0,1.0,1.3591255992650986e-05,0.0012516109272837639,512,0.1953125,3.819726407527923e-06,6.266093502442042e-06
512,JL,512d JL,False,0.005,100,30,64,0.66,0.7194444444444444,0.66,0.66,0.6861111111111111,0.9866666666666667,0.95,0.013333333333333308,0.0017589699820923339,0.9999959468841553,1.0,1.0,1.3601810981829962e-05,0.0012052860110998154,512,0.1953125,3.7251350780328116e-06,6.266093502442042e-06
512,JL,512d JL,False,0.01,100,30,64,0.66,0.7194444444444444,0.66,0.66,0.6861111111111111,0.98,0.95,0.020000000000000018,0.0035179399641846677,0.9999833703041077,1.0,1.0,1.3616494834423066e-05,0.001165209338068962,512,0.1953125,4.053364197413126e-06,6.266093502442042e-06
512,JL,512d JL,False,0.05,100,30,64,0.66,0.7194444444444444,0.6600000000000001,0.6600000000000001,0.6861111111111111,0.9533333333333334,0.95,0.046666666666666634,0.0175896997522383,0.9995856285095215,1.0,1.0,1.3506567726532619e-05,0.001177496276795864,512,0.1953125,3.650318831205368e-06,6.266093502442042e-06
512,JL,512d JL,False,0.1,100,30,64,0.66,0.7194444444444444,0.6666666666666666,0.6666666666666666,0.6455555555555554,0.92,0.9111111111111111,0.07999999999999996,0.0351793995044766,0.9983599185943604,1.0,1.0,1.3772149880727132e-05,0.0011988133192062378,512,0.1953125,4.8156206806500755e-06,6.266093502442042e-06
768,JL,768d JL,False,0.001,100,30,64,0.7133333333333335,0.8049999999999999,0.7133333333333335,0.7133333333333335,0.7866666666666667,1.0,0.9833333333333333,0.0,0.0003535382774091859,0.9999998211860657,1.0,1.0,1.646683861811956e-05,0.001558428630232811,768,0.29296875,5.375283459822337e-06,6.756434837977092e-06
768,JL,768d JL,False,0.005,100,30,64,0.7133333333333335,0.8049999999999999,0.7133333333333335,0.7133333333333335,0.7866666666666667,1.0,0.9833333333333333,0.0,0.0017676913845721032,0.9999958872795105,1.0,1.0,1.5994192411502204e-05,0.0015220073983073235,768,0.29296875,4.355578372875849e-06,6.756434837977092e-06
768,JL,768d JL,False,0.01,100,30,64,0.7133333333333335,0.8049999999999999,0.7200000000000002,0.7200000000000002,0.7866666666666667,0.9933333333333334,0.9833333333333333,0.006666666666666599,0.0035353827691442063,0.9999831318855286,1.0,1.0,1.5960882107416787e-05,0.0014441916719079018,768,0.29296875,4.816427826881409e-06,6.756434837977092e-06
768,JL,768d JL,False,0.05,100,30,64,0.7133333333333335,0.8049999999999999,0.7133333333333334,0.7133333333333334,0.8049999999999999,0.9733333333333333,0.9666666666666667,0.026666666666666727,0.0176769137968266,0.9995803236961365,1.0,1.0,1.6343997170527776e-05,0.0015401067212224007,768,0.29296875,4.553639640410741e-06,6.756434837977092e-06
768,JL,768d JL,False,0.1,100,30,64,0.7133333333333335,0.8049999999999999,0.7266666666666668,0.7266666666666668,0.7494444444444445,0.9600000000000001,0.9166666666666666,0.039999999999999925,0.0353538275936532,0.9983358979225159,1.0,1.0,1.6093781838814417e-05,0.001494361087679863,768,0.29296875,4.957212756077448e-06,6.756434837977092e-06
1024,No-JL,No-JL-1024d,True,0.001,100,30,64,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9833333333333333,0.9800000000000001,0.9833333333333333,0.019999999999999907,0.0003536322080219123,0.9999998211860657,1.0,1.0,1.8132757395505907e-05,0.0018038824200630188,1024,0.390625,5.072293182214101e-06,nan
1024,No-JL,No-JL-1024d,True,0.005,100,30,64,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9833333333333333,0.9800000000000001,0.9833333333333333,0.019999999999999907,0.001768161043674781,0.9999959468841553,1.0,1.0,1.8171314150094985e-05,0.0017858315259218216,1024,0.390625,5.5335772534211476e-06,nan
1024,No-JL,No-JL-1024d,True,0.01,100,30,64,1.0,1.0,0.9800000000000001,0.9800000000000001,0.9833333333333333,0.9800000000000001,0.9833333333333333,0.019999999999999907,0.003536322087349562,0.9999831914901733,1.0,1.0,1.8136886258920033e-05,0.0017372341826558113,1024,0.390625,5.0192698836326596e-06,nan
1024,No-JL,No-JL-1024d,True,0.05,100,30,64,1.0,1.0,0.9533333333333334,0.9533333333333334,0.9833333333333333,0.9533333333333334,0.9833333333333333,0.046666666666666634,0.017681610499612085,0.9995812177658081,1.0,1.0,1.8070141474405926e-05,0.0017373515293002129,1024,0.390625,5.425357570250829e-06,nan
1024,No-JL,No-JL-1024d,True,0.1,100,30,64,1.0,1.0,0.9466666666666667,0.9466666666666667,0.95,0.9466666666666667,0.95,0.053333333333333344,0.03536322099922417,0.9983439445495605,1.0,1.0,1.7907191067934037e-05,0.00175517238676548,1024,0.390625,5.116531004508336e-06,nan
