scheme,utility_scale,mean_nsr,mean_overlap1,mean_overlap3,mean_overlap5,mean_overlap10,mean_mrr5,mean_pearson,mean_drift,max_drift,mean_direction_cosine,dp_noise_time,mean_raw_retrieval_time,mean_noised_retrieval_time,mean_sigma,max_sigma,mean_sigma_per_dim,mean_epsilon,min_epsilon,hnsw_index_build_time,representation_mode,uses_jl,vector_dim,sample_chunks,num_queries,query_seed,noise_seed,dp_delta,top_k,ef_search,hnsw_M,hnsw_ef_construction,hnsw_space,hnsw_seed
No Dimension-Aware Scaling NoJL,0.05,0.5658115744590759,0.6333333333333333,0.6444444444444444,0.6533333333333334,0.7166666666666666,0.7233333333333333,0.4852857725872537,0.050510911146799724,0.4932321012020111,0.8803175091743469,0.0976643031463027,1.8291206409533818e-05,1.862465093533198e-05,0.3529178500175476,1.5229259729385376,0.01764589175581932,7.708121299743652,1.25,0.001750050112605095,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Fixed DP Calibration NoJL,0.05,0.009551764465868473,0.8,0.9444444444444444,0.9466666666666668,0.9866666666666666,0.9,0.9999885397323637,0.000216107214995039,0.0009367465972900391,0.9999544024467468,0.002882261760532856,1.8240914990504582e-05,1.818118616938591e-05,0.19035981595516205,0.19035984575748444,0.00029743718914687634,7.7081217765808105,7.708121299743652,0.001735900528728962,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Full Current NoJL,0.1,0.035363223403692245,0.8,0.888888888888889,0.8800000000000001,0.9566666666666666,0.9,0.9992485789981296,0.0010550848421795914,0.018507152795791626,0.9983439445495605,0.09772637113928795,1.8615803370873132e-05,1.799464225769043e-05,0.3529178500175476,1.5229259729385376,0.0011028682347387075,7.708121299743652,1.25,0.0017439331859350204,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No DP Baseline NoJL,0.1,0.0,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,0.999999999999983,1.6391277205910862e-09,1.1920928955078125e-07,1.0,0.00018143095076084137,1.933518797159195e-05,1.8405914306640626e-05,nan,nan,nan,nan,nan,0.0018426589667797089,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No Dimension-Aware Scaling NoJL,0.1,1.1316231489181519,0.5333333333333333,0.5888888888888888,0.5733333333333335,0.5933333333333334,0.638888888888889,0.29330443427038033,0.09048849940299988,0.6245516538619995,0.7796480059623718,0.09743820037692785,1.8549027542273202e-05,1.856029654542605e-05,0.3529178500175476,1.5229259729385376,0.03529178351163864,7.708121299743652,1.25,0.0017610955983400345,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Fixed DP Calibration NoJL,0.1,0.019103528931736946,0.8,0.9444444444444444,0.9466666666666668,0.9766666666666666,0.9,0.9999541568397065,0.0004377164693626886,0.001900792121887207,0.9998177289962769,0.00279050599783659,1.895430808266004e-05,1.8395266185204188e-05,0.19035981595516205,0.19035984575748444,0.0005948743782937527,7.7081217765808105,7.708121299743652,0.0017372248694300652,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Full Current NoJL,0.2,0.07072644680738449,0.7333333333333333,0.8000000000000002,0.8066666666666666,0.8866666666666666,0.8583333333333333,0.9934797435669611,0.0031770150021960338,0.04541218280792236,0.9936580657958984,0.0968658160418272,1.864929993947347e-05,1.8101371824741364e-05,0.3529178500175476,1.5229259729385376,0.002205736469477415,7.708121299743652,1.25,0.0017378134652972221,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No DP Baseline NoJL,0.2,0.0,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,0.999999999999983,1.6391277205910862e-09,1.1920928955078125e-07,1.0,0.00018084794282913208,1.8330228825410208e-05,1.8099633355935414e-05,nan,nan,nan,nan,nan,0.0017803991213440895,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No Dimension-Aware Scaling NoJL,0.2,2.2632462978363037,0.4666666666666667,0.46666666666666656,0.47333333333333344,0.4233333333333333,0.5444444444444444,0.147980199625961,0.1539029983182748,0.6959600448608398,0.6138778328895569,0.09704980254173279,1.8280309935410816e-05,1.9696572174628575e-05,0.3529178500175476,1.5229259729385376,0.07058356702327728,7.708121299743652,1.25,0.001825631596148014,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Fixed DP Calibration NoJL,0.2,0.03820705786347389,0.8,0.9333333333333333,0.9333333333333333,0.9733333333333332,0.9,0.9998166212299288,0.0009089058420310418,0.0039103031158447266,0.9992715716362,0.0027587013319134712,1.826783021291097e-05,1.804269850254059e-05,0.19035981595516205,0.19035984575748444,0.0011897487565875053,7.7081217765808105,7.708121299743652,0.001732167787849903,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Full Current NoJL,0.5,0.17681610584259033,0.6333333333333333,0.7333333333333335,0.7333333333333333,0.7766666666666663,0.75,0.8959519067900031,0.013773737133791049,0.17466294765472412,0.9690439701080322,0.09578492399305105,1.9851078589757284e-05,1.9830651581287384e-05,0.3529178500175476,1.5229259729385376,0.005514341406524181,7.708121299743652,1.25,0.0019465647637844086,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No DP Baseline NoJL,0.5,0.0,0.9666666666666667,1.0,1.0,1.0,0.9833333333333333,0.999999999999983,1.6391277205910862e-09,1.1920928955078125e-07,1.0,0.0001825885847210884,2.1607987582683565e-05,2.1373201161623e-05,nan,nan,nan,nan,nan,0.002131105400621891,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
No Dimension-Aware Scaling NoJL,0.5,5.658115386962891,0.3,0.28888888888888886,0.32,0.3399999999999999,0.3722222222222222,0.07635643576946724,0.25623104174931843,0.7395859956741333,0.33691081404685974,0.10107406880706549,1.9806033621231714e-05,2.1548941731452942e-05,0.3529178500175476,1.5229259729385376,0.1764589250087738,7.708121299743652,1.25,0.002097957767546177,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
Fixed DP Calibration NoJL,0.5,0.09551764279603958,0.7666666666666667,0.9,0.8800000000000001,0.9533333333333331,0.8833333333333333,0.9988545004049133,0.0027039066500340898,0.010573744773864746,0.9954736828804016,0.0030529117211699486,1.9039120525121687e-05,1.9042566418647765e-05,0.19035981595516205,0.19035984575748444,0.002974372124299407,7.7081217765808105,7.708121299743652,0.001830398105084896,no_jl,False,1024,100,30,2026,42,1e-05,5,64,16,200,cosine,42
